City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
65,Los Llanos De Aridane,ES,72.12,volcanic ash,28.6585,-17.9182,Valle Aridane
69,Eagle,US,70.95,clear sky,43.6954,-116.354,SpringHill Suites by Marriott Boise West/Eagle
70,Praia,CV,82.94,few clouds,14.9215,-23.5087,LT Aparthotel
73,Sao Filipe,CV,79.72,scattered clouds,14.8961,-24.4956,Hotel Xaguate
79,San Quintin,MX,78.26,broken clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
84,Tahta,EG,89.82,clear sky,26.7693,31.5021,مصطفي عساف
85,Boyolangu,ID,75.61,overcast clouds,-8.1181,111.8935,Yos ega cv
88,Mingshui,CN,70.34,light rain,36.7167,117.5,Grace Inn Zhangqiu Station Avenue Branch
92,Alofi,NU,74.46,scattered clouds,-19.0595,-169.9187,Taloa Heights
94,Butaritari,KI,80.55,moderate rain,3.0707,172.7902,Isles Sunset Lodge
97,Arraial Do Cabo,BR,71.46,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
99,Bambous Virieux,MU,71.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
100,Hithadhoo,MV,81.79,heavy intensity rain,-0.6,73.0833,Scoop Guest House
102,Trairi,BR,85.55,broken clouds,-3.2778,-39.2689,janelas do mar
107,Hurghada,EG,86.58,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
108,Dingle,PH,75.9,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
112,Samarai,PG,77.2,overcast clouds,-10.6167,150.6667,Nuli Sapi
114,East London,ZA,70.9,broken clouds,-33.0153,27.9116,Tu Casa
115,Zhuhai,CN,85.05,moderate rain,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
116,Bardsir,IR,72.19,broken clouds,29.9227,56.5743,هتل سجاد
119,Saint Anthony,US,73.26,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
120,Lorengau,PG,79.59,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
121,Salalah,OM,82.49,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
122,Brigantine,US,82.02,overcast clouds,39.4101,-74.3646,Legacy Vacation Resorts Brigantine Beach
124,Shenjiamen,CN,75.69,few clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
132,Souillac,MU,71.37,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
133,Hasaki,JP,70.2,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
137,Prieska,ZA,71.6,few clouds,-29.6641,22.7474,Avenue GuestHouse
139,Tuyen Quang,VN,75.18,overcast clouds,21.8233,105.2181,Khách Sạn Tuyên Thoa
146,Xuddur,SO,79.72,light rain,4.1213,43.8894,Banjanay Hotel
148,Dickinson,US,83.21,clear sky,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
150,Catuday,PH,78.78,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
152,Liwale,TZ,74.86,broken clouds,-9.7667,37.9333,Samoma lodge
153,Hondo,JP,72.59,scattered clouds,32.45,130.2,ホテル河丁
161,Salta,AR,79.57,scattered clouds,-24.7859,-65.4117,Hotel Alejandro I
162,Black River,JM,86.99,few clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
163,Sao Joao Da Barra,BR,73.49,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
164,Oistins,BB,89.69,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
165,Muros,ES,76.23,clear sky,42.7762,-9.0603,Apartment Av. Castelao
166,Meulaboh,ID,77.9,broken clouds,4.1363,96.1285,Kost Pria
167,Tazmalt,DZ,85.8,overcast clouds,36.3868,4.3989,Hôtel Numédia
169,Buala,SB,78.64,light rain,-8.145,159.5921,Maringe Lagoon Lodge
170,Vallenar,CL,86.13,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
171,Faanui,PF,77.85,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
179,Gat,IL,77.81,clear sky,31.61,34.7642,OlusHome
182,Pitimbu,BR,84.79,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
183,Chaohu,CN,72.91,light rain,31.6,117.8667,Shell Hefei Chaohu Railway Station Wanda Plaza Hotel
187,Valreas,FR,71.22,broken clouds,44.3837,4.9908,Maison d'Anvers
188,Neiafu,TO,72.28,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
189,Sakakah,SA,83.28,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
191,Zaoyang,CN,76.53,light rain,32.1272,112.7542,Shanghai Hotel
192,Brownsville,US,86.9,few clouds,25.9018,-97.4975,University Inn & Suites
194,Rincon,US,80.51,few clouds,32.296,-81.2354,Days Inn Rincon
195,Banjar,ID,80.46,overcast clouds,-8.19,114.9675,The Hamsa Resort
196,Sainte-Maxime,FR,74.32,scattered clouds,43.3,6.6333,Hôtel Les Jardins De Sainte Maxime
199,Digby,CA,74.59,few clouds,44.6169,-65.7655,Digby Pines Golf Resort and Spa
201,Nishihara,JP,79.88,broken clouds,26.1842,127.7558,Minshuku Agaihama
204,Tizapan El Alto,MX,76.26,few clouds,20.1667,-103.0667,Terraza Chayito
207,Acapulco,MX,85.82,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
219,Kieta,PG,77.11,light rain,-6.2167,155.6333,Uruna Bay Retreat
225,Naze,JP,75.79,clear sky,28.3667,129.4833,オーベルジュ・アガルイ
231,Tura,IN,73.99,few clouds,25.5198,90.2201,Hotel RIKMAN Continental
233,Labuhan,ID,81.5,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
234,Kalmunai,LK,82.49,overcast clouds,7.4167,81.8167,VS Villa
237,Kirakira,SB,77.54,overcast clouds,-10.4544,161.9205,SanBiz Lodge
239,Itarema,BR,85.41,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
240,Ottumwa,US,72.28,clear sky,41.02,-92.4113,Hampton Inn Ottumwa
244,Scranton,US,72.09,moderate rain,41.409,-75.6624,Radisson Lackawanna Station Hotel Scranton
245,North Platte,US,82.29,clear sky,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
248,San Policarpo,PH,80.62,scattered clouds,12.1791,125.5072,Manong Aklan Resort
253,Pizarro,CO,76.51,light rain,4.9533,-77.366,Hotel Limonar
259,Inirida,CO,82.62,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
260,Diego De Almagro,CL,83.66,clear sky,-26.3667,-70.05,hotel luna del desierto
266,Catamarca,AR,82.78,clear sky,-28.4696,-65.7852,Amerian Catamarca Park Hotel
268,Vanimo,PG,77.29,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
270,San Patricio,US,86.41,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
271,Torbay,CA,72.48,scattered clouds,47.6666,-52.7314,Gallows Cove
274,Palmer,US,81.52,scattered clouds,42.1584,-72.3287,Wedgewood Motel
275,Ugoofaaru,MV,82.98,overcast clouds,5.6667,73.0,Ungoofaaru Inn
280,Nhulunbuy,AU,70.41,few clouds,-12.2333,136.7667,East Arnhem Real Estate
281,Barstow,US,85.77,clear sky,34.8986,-117.0228,"Motel 6 Barstow, CA"
285,Khash,IR,76.26,few clouds,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
286,Bethel,US,79.65,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
287,Porto Novo,BJ,79.09,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
294,Sinazongwe,ZM,76.42,broken clouds,-17.2614,27.4618,Lakeview Lodge
298,Lincoln,US,81.01,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
299,Huilong,CN,75.97,light rain,31.8111,121.655,Hilton Garden Inn Qidong
302,Mahibadhoo,MV,83.32,overcast clouds,3.7833,72.9667,Omadhoo Inn
306,Puerto Ayacucho,VE,82.54,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
307,Cozumel,MX,82.99,broken clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
308,Mbuguni,TZ,70.93,broken clouds,-3.5667,36.95,kaza Moyo Modern Resort
310,San Cristobal,VE,80.78,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
312,Tiruchchendur,IN,84.4,broken clouds,8.4833,78.1167,Hotel Udhayam International
321,Russell,US,74.48,clear sky,32.3502,-85.1999,Macs
323,Kisaran,ID,74.95,broken clouds,2.9845,99.6158,Penginapan Batubara1
324,Chazuta,PE,85.05,broken clouds,-6.5742,-76.1367,Hospedaje Feliz Amanecer
326,Ternate,ID,79.68,broken clouds,0.8,127.4,Grand Dafam Bela Ternate
327,Wewak,PG,76.89,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
328,Le Port,RE,71.56,broken clouds,-20.9373,55.2919,KORBEY D'OR OUEST
330,George Town,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
331,Koungou,YT,74.91,clear sky,-12.7336,45.2042,Villa Netibor
332,Hirado,JP,72.27,scattered clouds,33.3597,129.5531,Samson Hotel
333,Half Moon Bay,US,87.62,few clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
339,Rock Sound,BS,83.71,broken clouds,24.9,-76.2,Rock Sound Club
341,Awbari,LY,88.2,clear sky,26.5921,12.7805,فندق أوباري
342,Ferrol,ES,71.85,broken clouds,43.4832,-8.2369,Parador de Ferrol
343,Mae Chan,TH,70.32,broken clouds,20.1467,99.8526,Kiang Dao Resort
344,Dauphin,CA,73.96,broken clouds,51.1494,-100.0502,Canway Inn & Suites
345,Glace Bay,CA,79.05,scattered clouds,46.1969,-59.957,Cedarwoods Bed & Breakfast
350,Chicama,PE,74.03,broken clouds,-7.8447,-79.1469,Balihai Bungalows
351,Vinh Long,VN,76.06,overcast clouds,10.25,105.9667,Phuong Thao Homestay
354,Santo Tomas,PH,80.33,overcast clouds,14.1079,121.1414,Microtel by Wyndham Batangas
356,Effingham,US,79.86,clear sky,32.3669,-81.3332,Countryside Village
357,Ibra,OM,88.92,overcast clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
358,Salinopolis,BR,85.68,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
359,Denpasar,ID,80.26,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
360,San Juan,AR,77.38,clear sky,-31.5375,-68.5364,Hotel Provincial
361,Katsuura,JP,75.31,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
364,Atambua,ID,71.22,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
365,Abu Kamal,SY,84.16,clear sky,34.4506,40.9171,محطة التلفاز
366,Balabac,PH,79.99,broken clouds,7.9868,117.0645,Sing and Swing Lodge
371,Marsa Matruh,EG,76.86,clear sky,31.3525,27.2453,Beau Site
373,Cedar City,US,76.39,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
376,Mocuba,MZ,70.2,scattered clouds,-16.8392,36.9856,Phama Lodge
379,Opuwo,NA,84.16,broken clouds,-18.0607,13.84,ABBA Guesthouse
380,Tezu,IN,75.22,clear sky,27.9167,96.1667,Circuit House
381,Guerrero Negro,MX,83.12,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
382,Isangel,VU,70.3,overcast clouds,-19.55,169.2667,Tanna Lodge
383,Cuamba,MZ,75.94,overcast clouds,-14.8031,36.5372,Hotel Vision
385,Xalpatlahuac,MX,73.62,scattered clouds,17.4667,-98.6167,Hotel Villarreal
386,Padang,ID,77.05,broken clouds,-0.9492,100.3543,Mercure Padang
