City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
319,Koumac,NC,-20.5667,164.2833,64.0,71,63,9.51,broken clouds
320,Nishihara,JP,26.1842,127.7558,79.88,84,20,5.75,few clouds
321,Xiaoweizhai,CN,26.1903,107.5125,68.31,98,12,3.38,few clouds
322,Mayo,US,38.8876,-76.5119,77.07,88,90,3.0,overcast clouds
323,Atikokan,CA,48.7555,-91.6216,68.63,34,0,7.4,clear sky
324,Saint-Georges,GD,12.0564,-61.7485,87.48,74,20,19.57,few clouds
325,Atasu,KZ,48.6814,71.6433,42.89,64,5,11.83,clear sky
326,Timizart,DZ,36.8,4.2667,81.21,50,93,9.93,overcast clouds
327,Olafsvik,IS,64.8945,-23.7142,40.24,92,100,19.51,light rain
328,Tecoanapa,MX,16.5167,-98.75,85.64,68,96,5.77,overcast clouds
329,Tahta,EG,26.7693,31.5021,91.72,27,0,14.72,clear sky
330,Clovis,US,36.8252,-119.7029,96.12,39,1,1.99,smoke
331,Slawno,PL,54.3628,16.6789,57.49,86,100,29.53,light rain
332,Sola,VU,-13.8833,167.55,79.47,100,75,0.0,broken clouds
333,Padang,ID,-0.9492,100.3543,77.05,87,50,3.09,scattered clouds
334,Tezu,IN,27.9167,96.1667,75.69,75,6,3.6,clear sky
335,Canmore,CA,51.0834,-115.3521,58.48,26,97,6.91,overcast clouds
336,Acapulco,MX,16.8634,-99.8901,85.82,74,40,8.05,scattered clouds
337,Dicabisagan,PH,17.0818,122.4157,78.37,88,8,4.99,clear sky
338,Gizo,SB,-8.103,156.8419,79.88,77,97,2.66,overcast clouds
339,Muroto,JP,33.2833,134.15,76.78,68,100,5.32,overcast clouds
340,La Paz,BO,-16.5,-68.15,53.58,62,75,11.5,broken clouds
341,Port Lincoln,AU,-34.7333,135.8667,54.0,92,0,9.04,clear sky
342,Orizona,BR,-17.0314,-48.2958,93.99,23,22,8.61,few clouds
343,Jinchang,CN,38.4953,102.1739,69.3,42,100,0.81,overcast clouds
344,Tuatapere,NZ,-46.1333,167.6833,47.82,78,48,10.65,light rain
345,Alta Floresta,BR,-9.8756,-56.0861,96.62,46,40,6.91,scattered clouds
346,Anadyr,RU,64.75,177.4833,32.5,100,90,2.24,light snow
347,Maromitsa,RU,59.8683,48.0123,46.62,76,100,7.45,light rain
348,Cidreira,BR,-30.1811,-50.2056,65.23,69,82,21.07,broken clouds
